来源文件,来源Sheet,原始行号,系统大类,系统,界面,界面过程名称,FGUI名称,界面优先级,负责交互,负责拼接,负责GUI,PC定制等级,PC制作方式,PC工作量,定制优先级,PC制作进展,RLS备注,B2备注,风格迭代总进展,跑测来源
SOC项目全量界面整理.xlsx,界面盘点,121,局外系统（含跨局内外部分）,抽奖,不放回抽奖（普通抽奖）,不放回抽奖（普通抽奖）,不放回抽奖,P0,王斌,蔡婷艳,刘敏,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,122,局外系统（含跨局内外部分）,抽奖,抽奖入口集合页,抽奖入口集合页,RootMallContent_LucklyDrawPage@LobbyMall,P0,王斌,蔡婷艳,刘敏,3-纯表现定制,适配+部分定制,F,P1尽量,制作完成,,UI适配定制 / 卡片hover设计,未处理,
SOC项目全量界面整理.xlsx,界面盘点,123,局外系统（含跨局内外部分）,商城,首页,首页,UiMall@LobbyMall,P0,王斌,蔡婷艳,蒲诗雨,3-纯表现定制,适配+部分定制,F,P1尽量,制作完成,,UI适配定制 / 卡片hover设计,未处理,
SOC项目全量界面整理.xlsx,界面盘点,124,局外系统（含跨局内外部分）,商城,捆绑包集合,捆绑包集合,RootMallContent_BundlePage@LobbyMall,P0,王斌,蔡婷艳,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,125,局外系统（含跨局内外部分）,商城,捆绑包,捆绑包,UiMallBuy@LobbyMall,P0,王斌,蔡婷艳,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,126,局外系统（含跨局内外部分）,商城,预览,预览,UiCommonPreview@LobbySkin,P0,王斌,蔡婷艳,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,127,局外系统（含跨局内外部分）,商城,礼包售卖,礼包售卖,RootMallContent_ShopPage@LobbyMall,P0,王斌,蔡婷艳,蒲诗雨,3-纯表现定制,适配+部分定制,F,P1尽量,制作完成,,UI适配定制 / 卡片hover设计,未处理,
SOC项目全量界面整理.xlsx,界面盘点,128,局外系统（含跨局内外部分）,商城,获得新外观,获得新外观,UiObtainNewSkin,P0,王斌,蔡婷艳,蒲诗雨,3-纯表现定制,,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,129,局外系统（含跨局内外部分）,商城,购买确认弹窗,购买确认弹窗,UiMallPayConfirm,P1,王斌,蔡婷艳,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,130,局外系统（含跨局内外部分）,活跃（贡献点抽奖&商城）,贡献点抽奖,贡献点抽奖,,,王斌,蔡婷艳,蒲诗雨,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,131,局外系统（含跨局内外部分）,活跃（贡献点抽奖&商城）,贡献点商店,贡献点商店,,,王斌,蔡婷艳,蒲诗雨,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,132,局外系统（含跨局内外部分）,充值,充值,充值,UiLobbyTopUp@LobbyTopUp,P0,王斌,蔡婷艳,王京京,1-纯适配,,,,暂不处理,,UI适配定制 / 卡片hover设计,未处理,
SOC项目全量界面整理.xlsx,界面盘点,133,局外系统（含跨局内外部分）,充值,快速购买,快速购买,UiInsufficientTips,P0,王斌,蔡婷艳,王京京,1-纯适配,,,,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,134,局外系统（含跨局内外部分）,充值,货币兑换,货币兑换,UiCurrencyExchange,P0,王斌,蔡婷艳,王京京,1-纯适配,,,,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,135,局外系统（含跨局内外部分）,势力,势力主页,势力主页,ComForceRoot,P1,李艺,李秋,王京京,2-适配优化,适配+部分定制,F,P1尽量,制作中,,卡片hover设计 / 视差设计,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,136,局外系统（含跨局内外部分）,势力,势力任务,势力任务,,P1,李艺,李秋,王京京,2-适配优化,纯适配+pc框架,无需,无需,制作中,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,137,局外系统（含跨局内外部分）,势力,切换势力,切换势力,ComSwitchPowerRoot,P1,李艺,李秋,王京京,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,138,局外系统（含跨局内外部分）,势力,技巧,技巧,ComSkillContent,P1,李艺,李秋,王京京,2-适配优化,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,139,局外系统（含跨局内外部分）,活动中心（潘多拉）,活动,活动,,P0,孙晓娣,无,王京京,4-部分功能定制,纯适配+pc框架,无需,无需,制作中,,潘多拉处理,未处理,
SOC项目全量界面整理.xlsx,界面盘点,140,局外系统（含跨局内外部分）,活动中心（潘多拉）,公告,公告,,P1,孙晓娣,无,王京京,4-部分功能定制,纯适配+pc框架,无需,无需,制作中,,潘多拉处理,未处理,
SOC项目全量界面整理.xlsx,界面盘点,141,局外系统（含跨局内外部分）,赛季,首页,首页,UiSeasonsystem,,李艺,李秋,王京京,2-适配优化,纯适配+pc框架,,,制作完成,未作悬浮态（20251112）,,,
SOC项目全量界面整理.xlsx,界面盘点,142,局外系统（含跨局内外部分）,赛季,勋章,勋章,,,李艺,李秋,王京京,2-适配优化,纯适配+pc框架,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,143,局外系统（含跨局内外部分）,赛季,勋章详情,勋章详情,UiSeasonMedalinterface,,李艺,李秋,王京京,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,144,局外系统（含跨局内外部分）,赛季,勋章详情-二级信息,勋章详情-二级信息,UiSeasonMedalinterface,,李艺,李秋,王京京,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,145,局外系统（含跨局内外部分）,赛季,段位奖励,段位奖励,UiSeasonsystemReward,,李艺,李秋,王京京,2-适配优化,纯适配+pc框架,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,146,局外系统（含跨局内外部分）,赛季,勋章奖励,勋章奖励,UiSeasonsystemMedalReward,,李艺,李秋,李宁,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,147,局外系统（含跨局内外部分）,赛季,段位说明,段位说明,UiSeasonsystemPointsExplanation,,李艺,李秋,李宁,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,148,局外系统（含跨局内外部分）,赛季,段位构成/积分说明,段位构成/积分说明,,,李艺,李秋,李宁,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,149,局外系统（含跨局内外部分）,赛季,赛季图标在背包,赛季图标在背包,,,李艺,李秋,李宁,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,150,局外系统（含跨局内外部分）,赛季,赛季结束倒计时提示,赛季结束倒计时提示,,,李艺,李秋,李宁,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,151,局外系统（含跨局内外部分）,赛季,赛季排行榜,赛季排行榜,,,李艺,李秋,李宁,2-适配优化,纯适配+pc框架,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,152,局外系统（含跨局内外部分）,成长之路,首页,首页,,,李艺,李秋,王京京,2-适配优化,纯适配+pc框架,,,制作中,,,,
SOC项目全量界面整理.xlsx,界面盘点,153,局外系统（含跨局内外部分）,成长之路,升级,升级,,,李艺,李秋,王京京,2-适配优化,纯适配+pc框架,,,制作中,,,,
SOC项目全量界面整理.xlsx,界面盘点,154,局外系统（含跨局内外部分）,成长之路,势力技巧,势力技巧,,,李艺,李秋,王京京,2-适配优化,纯适配+pc框架,,,制作中,,,,
SOC项目全量界面整理.xlsx,界面盘点,155,局外系统（含跨局内外部分）,成长之路,技巧奖励,技巧奖励,,,李艺,李秋,王京京,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,156,局外系统（含跨局内外部分）,公会,地图,地图,,,傅柄乔,熊峰,蒲诗雨,3-纯表现定制,GUI表现定制,,,制作中,未作悬浮态（20251112）,,,
SOC项目全量界面整理.xlsx,界面盘点,157,局外系统（含跨局内外部分）,公会,推荐公会,推荐公会,,,傅柄乔,熊峰,蒲诗雨,2-适配优化,纯适配+pc框架,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,158,局外系统（含跨局内外部分）,公会,公会头像修改,公会头像修改,,,傅柄乔,熊峰,蒲诗雨,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,159,局外系统（含跨局内外部分）,公会,创建公会,创建公会,,,傅柄乔,熊峰,蒲诗雨,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,160,局外系统（含跨局内外部分）,公会,公会申请,公会申请,,,傅柄乔,熊峰,蒲诗雨,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,161,局外系统（含跨局内外部分）,公会,工会邀请,工会邀请,,,傅柄乔,熊峰,蒲诗雨,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,162,局外系统（含跨局内外部分）,公会,工会主页,工会主页,,,傅柄乔,熊峰,蒲诗雨,2-适配优化,纯适配+pc框架,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,163,局外系统（含跨局内外部分）,公会,工会排行榜,工会排行榜,,,傅柄乔,熊峰,蒲诗雨,2-适配优化,纯适配+pc框架,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,164,局外系统（含跨局内外部分）,公会,工会日志,工会日志,,,傅柄乔,熊峰,蒲诗雨,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,165,局外系统（含跨局内外部分）,公会,工会设置,工会设置,,,傅柄乔,熊峰,蒲诗雨,2-适配优化,纯适配+pc框架,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,166,局外系统（含跨局内外部分）,公会,公会成员,公会成员,,,傅柄乔,熊峰,蒲诗雨,2-适配优化,,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,167,局外系统（含跨局内外部分）,公会,工会奖励,工会奖励,,,傅柄乔,熊峰,蒲诗雨,2-适配优化,纯适配+pc框架,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,168,局外系统（含跨局内外部分）,通行证,通行证,通行证,UiBattlePass,P0,王斌,谢爱萍,蒲诗雨,3-纯表现定制,,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,169,局外系统（含跨局内外部分）,通行证,购买通行证,购买通行证,UiBattlePassPay,P0,王斌,谢爱萍,彭歆妍,2-适配优化,,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,170,局外系统（含跨局内外部分）,通行证,全部奖励预览,全部奖励预览,UiBattlePassPreview,P0,王斌,谢爱萍,蒲诗雨,3-纯表现定制,,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,171,局外系统（含跨局内外部分）,通行证,解锁通行证提示,解锁通行证提示,,P0,王斌,谢爱萍,蒲诗雨,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,172,局外系统（含跨局内外部分）,通行证,升级提示,升级提示,,P0,王斌,谢爱萍,蒲诗雨,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,173,局外系统（含跨局内外部分）,通行证,购买等级直升,购买等级直升,UiMsgBox,P0,王斌,谢爱萍,蒲诗雨,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,174,局外系统（含跨局内外部分）,通行证,赠送通行证,赠送通行证,,P1,余子文,杨帅帅,蒲诗雨,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,175,局外系统（含跨局内外部分）,通行证,赠送代币商品,赠送代币商品,,,孙晓娣,,,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,179,局外系统（含跨局内外部分）,通行证,领地蓝图,领地蓝图,UiLobbyCustomBlueprint,P2,余子文,李秋,王京京,2-适配优化,,,,制作完成,未作悬浮态（20251112）,中低优先级GUI迭代,,
SOC项目全量界面整理.xlsx,界面盘点,180,局外系统（含跨局内外部分）,KOL服,玩家管理首页,玩家管理首页,,,傅柄乔,熊峰,冯健恒,2-适配优化,,,,制作中,,,,
SOC项目全量界面整理.xlsx,界面盘点,181,局外系统（含跨局内外部分）,KOL服,确认消耗弹窗,确认消耗弹窗,,,傅柄乔,熊峰,冯健恒,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,182,局外系统（含跨局内外部分）,KOL服,移除管理员,移除管理员,,,傅柄乔,熊峰,冯健恒,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,183,局外系统（含跨局内外部分）,KOL服,玩家管理,玩家管理,,,傅柄乔,熊峰,冯健恒,2-适配优化,,,,制作中,,,,
SOC项目全量界面整理.xlsx,界面盘点,184,局外系统（含跨局内外部分）,KOL服,复制邀请码,复制邀请码,,,傅柄乔,熊峰,冯健恒,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,185,局外系统（含跨局内外部分）,KOL服,生成邀请码弹窗,生成邀请码弹窗,,,傅柄乔,熊峰,冯健恒,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,186,局外系统（含跨局内外部分）,KOL服,生成邀请码,生成邀请码,,,傅柄乔,熊峰,冯健恒,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,187,局外系统（含跨局内外部分）,KOL服,邀请码,邀请码,,,傅柄乔,熊峰,冯健恒,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,188,局外系统（含跨局内外部分）,特权,双平台能力特权入口,双平台能力特权入口,,,傅柄乔,蔡婷艳,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,189,局外系统（含跨局内外部分）,特权,QQ游戏中心,QQ游戏中心,,,傅柄乔,蔡婷艳,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,190,局外系统（含跨局内外部分）,特权,微信游戏中心,微信游戏中心,,,傅柄乔,蔡婷艳,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,191,局外系统（含跨局内外部分）,特权,高校特权,高校特权,,,傅柄乔,蔡婷艳,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,192,局外系统（含跨局内外部分）,适龄提示,适龄提示,适龄提示,ComTextScroll,,,,,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,194,局内-主HUD,主界面hud,基础3C,基础3C,UiHudElem@GameHud,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,195,局内-主HUD,主界面hud,触发式按钮,触发式按钮,ElemQuickActionBubble@GameHud,,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,E,P0必改,制作完成,,B2上已完成框架 / B2下调整优化： / 1、PC定制屏幕中间的触发组 / （加支持配置出场特效）,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,196,局内-主HUD,主界面hud,交互/拾取列表,交互/拾取列表,ElemInteractiveList@GameHud,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,适配+部分定制,E,P0必改,制作完成,,B2上已完成框架 / B2下调整优化： / 1、布局优化增加行数 / 2、快捷键优化,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,197,局内-主HUD,主界面hud,换弹/标记轮盘,换弹/标记轮盘,ComRoulette@CommonGlobal,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,适配+部分定制,E,P0必改,制作完成,,PC触发逻辑 / 优化手感 / 绑定鼠标交互,未处理,
SOC项目全量界面整理.xlsx,界面盘点,198,局内-主HUD,主界面hud,动作轮盘,动作轮盘,UiRoulette,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,适配+部分定制,F,P0必改,制作完成,,绑定快捷键,未处理,
SOC项目全量界面整理.xlsx,界面盘点,199,局内-主HUD,主界面hud,道具快捷栏切换,道具快捷栏切换,ElemShortcutsNew@GameHud,,石凤姣,蔡婷艳,冯健恒,6-完全定制,适配+部分定制,F,P0必改,制作完成,,跟鼠标呼出合并一个快捷键,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,200,局内-主HUD,主界面hud,武器切换,武器切换,ElemWeapons@GameHud,,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,E,P0必改,制作完成,,改到下面统一快捷栏,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,201,局内-主HUD,主界面hud,游泳,游泳,ElemUp@GameHud / ElemDown@GameHud,P1,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,202,局内-主HUD,主界面hud,建筑维修,建筑维修,UiHudMain,,石凤姣,蔡婷艳,冯健恒,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,203,局内-主HUD,主界面hud,载具维修,载具维修,UiHudMain,,石凤姣,蔡婷艳,冯健恒,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,204,局内-主HUD,主界面hud,网络/电量状态,网络/电量状态,,,石凤姣,蔡婷艳,冯健恒,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,205,局内-主HUD,提示系统,hud血条,hud血条,UiHudMain,,徐博,谢爱萍,冯健恒,1-纯适配,纯适配+pc框架,无需,无需,1-纯适配,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,206,局内-主HUD,提示系统,物品血条&信息,物品血条&信息,UiFocusInfo,,徐博,谢爱萍,冯健恒,1-纯适配,纯适配+pc框架,无需,无需,1-纯适配,,,,
SOC项目全量界面整理.xlsx,界面盘点,207,局内-主HUD,提示系统,模型血条&跳字,模型血条&跳字,UiFocusInfo,,徐博,谢爱萍,冯健恒,1-纯适配,纯适配+pc框架,无需,无需,1-纯适配,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,208,局内-主HUD,提示系统,持续性提示,持续性提示,ComOngoingTip / UiSleep,P1,徐博,谢爱萍,冯健恒,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,209,局内-主HUD,提示系统,通用文本提示,通用文本提示,UiRealtimeNormalTip,P1,徐博,谢爱萍,冯健恒,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,210,局内-主HUD,提示系统,跑马灯,跑马灯,UiShortContactTip,P1,徐博,谢爱萍,冯健恒,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,211,局内-主HUD,提示系统,爆炸物提示,爆炸物提示,UiThrownTips,P1,徐博,谢爱萍,冯健恒,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,212,局内-主HUD,提示系统,短触发目标提示,短触发目标提示,,P1,徐博,谢爱萍,冯健恒,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,视觉迭代,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,213,局内-主HUD,提示系统,通用读条,通用读条,HudCountDown@GameHud,,徐博,谢爱萍,冯健恒,4-部分功能定制,定制,E,P0必改,制作完成,,轻量化设计,未处理,
SOC项目全量界面整理.xlsx,界面盘点,214,局内-主HUD,提示系统,战斗弱提示,战斗弱提示,UiBattleTip@GameBattleTip,P1,徐博,谢爱萍,冯健恒,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,215,局内-主HUD,提示系统,剧情对话,剧情对话,,P1,徐博,谢爱萍,冯健恒,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,216,局内-主HUD,提示系统,确认侧弹窗,确认侧弹窗,ElemPopTip@CommonTip,P1,徐博,谢爱萍,冯健恒,2-适配优化,适配+部分定制,F,P0必改,待处理,,快捷键映射,未处理,
SOC项目全量界面整理.xlsx,界面盘点,217,局内-主HUD,提示系统,提醒侧弹窗,提醒侧弹窗,UiLeftInfoTip,P1,徐博,谢爱萍,冯健恒,2-适配优化,适配+部分定制,F,P0必改,待处理,,快捷键映射,未处理,
SOC项目全量界面整理.xlsx,界面盘点,218,局内-主HUD,提示系统,物品获得提示,物品获得提示,,P1,徐博,谢爱萍,冯健恒,2-适配优化,适配+部分定制,F,P0必改,待处理,,UI适配,未处理,
SOC项目全量界面整理.xlsx,界面盘点,219,局内-主HUD,提示系统,首次使用物品信息,首次使用物品信息,uIWorldFlag,P1,徐博,谢爱萍,冯健恒,2-适配优化,,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,220,局内-主HUD,悬浮标识,标识组件,标识组件,,,李艺,谢爱萍,冯健恒,1-纯适配,,,,暂不处理,,双端悬浮标识轨道定制,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,221,局内-主HUD,悬浮标识,任务/路点标识（任务等）,任务/路点标识（任务等）,,,李艺,谢爱萍,冯健恒,1-纯适配,,,,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,222,局内-主HUD,悬浮标识,队友标记,队友标记,,,李艺,谢爱萍,冯健恒,1-纯适配,,,,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,223,局内-主HUD,悬浮标识,敌方方位,敌方方位,,,李艺,谢爱萍,冯健恒,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,224,局内-主HUD,悬浮标识,声纹,声纹,UiSoundPrint,,李艺,谢爱萍,冯健恒,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,225,局内-主HUD,悬浮标识,受击提示,受击提示,UiDamageDcreenEffect,,李艺,谢爱萍,冯健恒,1-纯适配,,,,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,226,局内-主HUD,悬浮标识,座舱提示,座舱提示,,,李艺,谢爱萍,冯健恒,1-纯适配,,,,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,227,局内-主HUD,悬浮标识,地图标记,地图标记,,,李艺,谢爱萍,冯健恒,1-纯适配,,,,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,228,局内-主HUD,使用道具,毒刺导弹,毒刺导弹,,P1,徐博,蔡婷艳,刘敏,1-纯适配,,,,暂不处理,,开火接触发提示,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,229,局内-主HUD,使用道具,射频发射器,射频发射器,,P1,徐博,蔡婷艳,刘敏,2-适配优化,,,,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,230,局内-主HUD,使用道具,望远镜,望远镜,,P1,徐博,蔡婷艳,刘敏,1-纯适配,,,,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,231,局内-主HUD,使用道具,重型头盔,重型头盔,,P3,徐博,蔡婷艳,刘敏,1-纯适配,,,,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,232,局内-主HUD,使用道具,潜水面镜,潜水面镜,,P3,徐博,蔡婷艳,刘敏,1-纯适配,,,,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,233,局内-主HUD,使用道具,夜视仪,夜视仪,,P3,徐博,蔡婷艳,刘敏,1-纯适配,,,,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,234,局内-主HUD,载具hud,马,马,UIHudMain,P0,余子文,蔡婷艳,冯健恒,4-部分功能定制,,,,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,235,局内-主HUD,载具hud,车/快艇,车/快艇,UIHudMain,P0,余子文,蔡婷艳,冯健恒,4-部分功能定制,,,,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,236,局内-主HUD,载具hud,飞机,飞机,UIHudMain,P0,余子文,蔡婷艳,冯健恒,4-部分功能定制,,,,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,237,局内-主HUD,载具hud,火车,火车,UIHudMain,P2,余子文,蔡婷艳,冯健恒,2-适配优化,,,,待处理,调整GUI,UI适配 / 转弯QTE提示 / （考虑直接接PC触发式按钮）,待定,
SOC项目全量界面整理.xlsx,界面盘点,238,局内-主HUD,载具hud,直升机,直升机,UiVehicleInfo,P0,余子文,蔡婷艳,冯健恒,2-适配优化,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,239,局内-主HUD,载具hud,降落伞,降落伞,UIHudMain,P0,余子文,蔡婷艳,冯健恒,2-适配优化,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,240,局内-主HUD,建造,建造模式,建造模式,,P0,王斌,李秋,冯健恒,6-完全定制,,,,制作完成,,定制布局+按键交互,未处理,
SOC项目全量界面整理.xlsx,界面盘点,241,局内-主HUD,建造,建筑升级&改造,建筑升级&改造,,P1,王斌,李秋,冯健恒,6-完全定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,242,局内-主HUD,建造,电力模式,电力模式,,P0,王斌,李秋,冯健恒,6-完全定制,定制,D,P0必改,制作完成,,定制布局+按键交互,未处理,
SOC项目全量界面整理.xlsx,界面盘点,243,局内-主HUD,建造,电力-接线,电力-接线,,P0,王斌,李秋,冯健恒,6-完全定制,纯适配+pc框架,无需,无需,制作完成,,电力模式整体一起处理交互,未处理,
SOC项目全量界面整理.xlsx,界面盘点,244,局内-主HUD,建造,电力-接线中,电力-接线中,,P0,王斌,李秋,冯健恒,6-完全定制,纯适配+pc框架,无需,无需,制作完成,,电力模式整体一起处理交互,未处理,
SOC项目全量界面整理.xlsx,界面盘点,245,局内-主HUD,建造,电力-电线换色,电力-电线换色,,,王斌,李秋,冯健恒,6-完全定制,纯适配+pc框架,无需,无需,制作完成,,电力模式整体一起处理交互,未处理,
SOC项目全量界面整理.xlsx,界面盘点,246,局内-主HUD,建造,蓝图模式,蓝图模式,,P0,王斌,李秋,冯健恒,6-完全定制,定制,待定,待定,制作完成,,B2下右内容新增，先待定,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,247,局内-主HUD,建造,轮盘模式,轮盘模式,,P0,王斌,李秋,冯健恒,6-完全定制,定制,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,249,局内-系统,新手阶段,新手服,新手服,,,李艺,李秋,彭歆妍,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,253,局内-系统,剧本书,求生指南,求生指南,UiMissionBook,,李艺,蔡婷艳,彭歆妍,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,254,局内-系统,剧本书,生存进阶,生存进阶,,,李艺,蔡婷艳,彭歆妍,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,255,局内-系统,剧本书,势力特训,势力特训,,,李艺,蔡婷艳,彭歆妍,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,256,局内-系统,剧本书,剧本介绍,剧本介绍,,,李艺,蔡婷艳,彭歆妍,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,257,局内-系统,新手自评,选择经历,选择经历,UiAssessment,,,熊峰,王京京,1-纯适配,纯适配+pc框架,,,,,,,
